id,smiles
CHEMBL232223,CN(C)c1ccc(cc1)[C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)C#Cc4ccc(C)cc4)[C@@H]5OCC6=CC(=O)CCC6=C25
CHEMBL3126938,Cc1ccc(F)cc1C(C)(C)CC(O)(Cc2cc3nc(ncc3[nH]2)N4CCOCC4)C(F)(F)F
CHEMBL384467,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
CHEMBL3126936,Cc1ccc(F)cc1C(C)(C)CC(O)(Cc2cc3nc(ncc3[nH]2)c4cccnc4)C(F)(F)F
CHEMBL3126937,Cc1ccc(F)cc1C(C)(C)CC(O)(Cc2cc3nc(ncc3[nH]2)N4CCCC4)C(F)(F)F
CHEMBL3907432,COCCC(=O)N[C@@H](C)[C@H](Oc1ccc2c(cnn2c3ccc(F)cc3)c1)c4ccccc4
CHEMBL3094484,CCC(Cc1cc(C)c(O)c(C)c1)NS(=O)(=O)c2c(C)cc(C)cc2C
CHEMBL3094485,CCC(Cc1ccc(O)c2ccccc12)NS(=O)(=O)c3c(C)cc(C)cc3C
CHEMBL197552,CC(C)(CC(O)(Cc1ccc2ccccc2c1)C(=O)Nc3ccc4C(=O)OCc4c3)c5ccccc5
CHEMBL3094487,CC[C@@H](Cc1ccc(O)cc1C)NS(=O)(=O)c2c(C)cc(C)cc2C
CHEMBL3094480,CCC(Cc1ccc2ccccc2c1)NS(=O)(=O)c3c(C)cc(C)cc3C
CHEMBL1762211,CO\N=C\1/C(O)C(C)(C)Nc2cc(F)c(c(F)c12)c3cccc4c(Cl)c[nH]c34
CHEMBL1762210,CCO\N=C\1/C(O)C(C)(C)Nc2cc(F)c(c(F)c12)c3cccc4c(C)c[nH]c34
CHEMBL2087291,OC(=O)Cc1cc(Br)c(N(Cc2ccc(Oc3ccc(Cl)cc3Cl)cc2)Cc4cc(F)cc(F)c4)c(Br)c1
CHEMBL3970276,C[C@H](NC(=O)C(C)(C)C)[C@H](Oc1ccc2c(cnn2c3ccc(F)cc3)c1)c4ccccc4
CHEMBL293452,COc1cccc2OC(c3cc(C)cc(C)c3)c4cc(NS(=O)(=O)C)ccc4c12
CHEMBL3264932,CCN1C(=NN(Cc2ccc(cc2)C(C)(C)C)C1=O)CCCc3ccc(cc3)c4ccc(NS(=O)(=O)c5ccccc5)cn4
CHEMBL3666820,C[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc2c(cnn2c3cccc(c3)C(=O)N[C@@H]4CCOC4=O)c1)c5ccc6OCCOc6c5
CHEMBL194804,CC1=NOC(=O)c2ccc(NC(=O)C(O)(CC3CCCCC3)CC(C)(C)c4ccccc4)cc12
CHEMBL4069357,CC[C@@H]1C[C@@](O)([C@@H](Nc2cccc3nc(C)ccc23)c4ccc(F)c(O)c14)C(F)(F)F
CHEMBL194802,CC(C)(CC(O)(CC1CCCCC1)C(=O)Nc2ccc3C(=O)OCc3c2)c4cc(F)ccc4O
CHEMBL397239,CN(C)c1ccc(cc1)[C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)C#Cc4cc(F)cc(F)c4)[C@@H]5OCC6=CC(=O)CCC6=C25
CHEMBL549364,COc1ccc(cc1)[C@H]2OC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C)[C@@H]4CCC5=CC(=O)CCC5=C24
CHEMBL3126939,Cc1ccc(F)cc1C(C)(C)CC(O)(Cc2cc3nc(ncc3[nH]2)N4CCS(=O)(=O)CC4)C(F)(F)F
CHEMBL470152,C\C=C\[C@@]12CC[C@@](O)(C[C@H]1CCc3cc(O)ccc23)C#CC
CHEMBL183914,Cc1c(NS(=O)(=O)C)cccc1N(Cc2ccccc2)Cc3ccc(Oc4ccc(CCCC(=O)NCCC(=O)O)cc4)cc3
CHEMBL1940556,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CSc5nc(cs5)c6ccccc6
CHEMBL1940555,CCn1c(SCC(=O)[C@@]2(O)CC[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]23C)nc6ccccc16
CHEMBL1940552,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CSc5ccccn5
CHEMBL244972,CN(C)c1ccc(cc1)[C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)C#Cc4cccc(F)c4)[C@@H]5OCC6=CC(=O)CCC6=C25
CHEMBL1940550,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CSc5oc6ccccc6n5
CHEMBL1940551,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CSc5oc6cccnc6n5
CHEMBL416869,COc1cccc2OC(c3ccccc3)c4cc(NC(=O)C)ccc4c12
CHEMBL235536,COc1ccc(CC(O)(CC(C)(C)c2cc(F)ccc2OC)C(F)(F)F)cc1
CHEMBL525273,COC(=O)[C@H](C)NC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CO
CHEMBL64095,COc1cccc2OC(c3ccc(Oc4ccccc4)cc3)c5cc(NS(=O)(=O)C)ccc5c12
CHEMBL3261403,C[C@@H](COc1cccc2cnccc12)NS(=O)(=O)c3ccc(C)cc3C
CHEMBL233241,CC(Cc1c[nH]c2ccccc12)NS(=O)(=O)c3cc(Cl)ccc3Cl
CHEMBL1098849,Cc1ccc(cc1)C(O)(c2ccc3c(cnn3c4ccc(F)cc4)c2)C(F)(F)F
CHEMBL3261406,C[C@@H](COc1cccc2c1cnn2c3ccc(F)cc3)NS(=O)(=O)c4c(C)cc(C)cc4C
CHEMBL3261407,C[C@@H](CNc1cccc2c1cnn2c3ccc(F)cc3)NS(=O)(=O)c4c(C)cc(C)cc4C
CHEMBL3261404,C[C@@H](COc1cccc2cnccc12)NS(=O)(=O)c3c(C)nn(C4CCCC4)c3C
CHEMBL3261405,C[C@@H](COc1cccc2cnccc12)NS(=O)(=O)c3c(C)nn(c3C)c4ccccc4
CHEMBL395716,COCc1ccsc1\C=C\2/Oc3ccc(O)c(OC)c3c4ccc5NC(C)(C)C=C(C)c5c24
